ENSG00000108578,0,0,0,0,0,0,0,0,0,0,1
ENSG00000140319,0,0,0,0,0,0,0,0,0,0,1
ENSG00000084710,0,0,0,0,0,0,0,2,0,0,1
ENSG00000157954,2,0,3,0,0,0,0,0,0,0,1
ENSG00000187688,0,0,2,0,0,0,0,0,0,1,1
ENSG00000177103,0,0,0,0,0,0,0,1,1,0,1
ENSG00000169862,0,0,2,0,0,0,0,3,0,0,1
ENSG00000138162,0,0,0,0,0,0,0,0,0,0,2
ENSG00000124839,0,0,1,0,0,0,0,0,0,0,0
ENSG00000132321,0,0,1,0,0,0,0,0,0,0,1
ENSG00000178031,1,0,8,0,0,0,1,9,2,1,0
ENSG00000170322,0,0,0,0,0,0,1,0,0,0,1
ENSG00000186566,0,0,1,0,0,0,0,0,0,0,1
ENSG00000197757,0,0,0,0,0,0,0,0,0,0,1
ENSG00000110958,0,0,2,0,0,0,0,2,0,1,1
ENSG00000138032,0,0,3,0,0,0,0,1,0,0,1
ENSG00000143226,0,0,0,0,0,0,1,0,0,0,0
ENSG00000137831,0,0,16,0,0,0,1,1,0,0,1
ENSG00000155530,0,0,2,0,0,0,0,3,0,0,1
ENSG00000088247,0,0,0,0,0,0,0,0,0,0,1
ENSG00000087245,0,0,3,0,0,0,0,0,0,0,1
ENSG00000117479,0,0,1,0,0,0,0,1,0,0,1
ENSG00000147421,0,0,0,0,0,0,0,3,0,0,0
ENSG00000153130,0,0,2,0,0,0,0,0,0,0,0
ENSG00000179222,0,0,1,0,0,0,0,2,1,0,2
ENSG00000101017,0,0,4,0,0,0,0,0,0,0,1
ENSG00000198780,0,0,1,0,0,0,0,1,0,0,1
ENSG00000170522,0,0,7,0,0,0,0,6,0,0,1
ENSG00000173338,0,0,0,0,0,0,1,1,0,0,0
ENSG00000177732,2,0,1,0,0,0,0,0,0,0,1
ENSG00000226137,0,0,1,0,0,0,0,0,0,0,0
ENSG00000104321,0,0,3,0,0,0,0,8,0,0,1
ENSG00000162804,1,0,1,0,0,0,1,2,0,0,1
